date,day_of_year,lai_max,lai_min,lai_daily
1/1/19,1,4.9,0,0
1/2/19,2,4.9,0,0
1/3/19,3,4.9,0,0
1/4/19,4,4.9,0,0
1/5/19,5,4.9,0,0
1/6/19,6,4.9,0,0
1/7/19,7,4.9,0,0
1/8/19,8,4.9,0,0
1/9/19,9,4.9,0,0
1/10/19,10,4.9,0,0
1/11/19,11,4.9,0,0
1/12/19,12,4.9,0,0
1/13/19,13,4.9,0,0
1/14/19,14,4.9,0,0
1/15/19,15,4.9,0,0
1/16/19,16,4.9,0,0
1/17/19,17,4.9,0,0
1/18/19,18,4.9,0,0
1/19/19,19,4.9,0,0
1/20/19,20,4.9,0,0
1/21/19,21,4.9,0,0
1/22/19,22,4.9,0,0
1/23/19,23,4.9,0,0
1/24/19,24,4.9,0,0
1/25/19,25,4.9,0,0
1/26/19,26,4.9,0,0
1/27/19,27,4.9,0,0
1/28/19,28,4.9,0,0
1/29/19,29,4.9,0,0
1/30/19,30,4.9,0,0
1/31/19,31,4.9,0,0
2/1/19,32,4.9,0,0
2/2/19,33,4.9,0,0
2/3/19,34,4.9,0,0
2/4/19,35,4.9,0,0
2/5/19,36,4.9,0,0
2/6/19,37,4.9,0,0
2/7/19,38,4.9,0,0
2/8/19,39,4.9,0,0
2/9/19,40,4.9,0,0
2/10/19,41,4.9,0,0
2/11/19,42,4.9,0,0
2/12/19,43,4.9,0,0
2/13/19,44,4.9,0,0
2/14/19,45,4.9,0,0
2/15/19,46,4.9,0,0
2/16/19,47,4.9,0,0
2/17/19,48,4.9,0,0
2/18/19,49,4.9,0,0
2/19/19,50,4.9,0,0
2/20/19,51,4.9,0,0
2/21/19,52,4.9,0,0
2/22/19,53,4.9,0,0
2/23/19,54,4.9,0,0
2/24/19,55,4.9,0,0
2/25/19,56,4.9,0,0
2/26/19,57,4.9,0,0
2/27/19,58,4.9,0,0
2/28/19,59,4.9,0,0
3/1/19,60,4.9,0,0
3/2/19,61,4.9,0,0
3/3/19,62,4.9,0,0
3/4/19,63,4.9,0,0
3/5/19,64,4.9,0,0
3/6/19,65,4.9,0,0
3/7/19,66,4.9,0,0
3/8/19,67,4.9,0,0
3/9/19,68,4.9,0,0
3/10/19,69,4.9,0,0
3/11/19,70,4.9,0,2.45
3/12/19,71,4.9,0,2.898148994
3/13/19,72,4.9,0,3.317279696
3/14/19,73,4.9,0,3.685432646
3/15/19,74,4.9,0,3.991405645
3/16/19,75,4.9,0,4.234222805
3/17/19,76,4.9,0,4.419952859
3/18/19,77,4.9,0,4.558054564
3/19/19,78,4.9,0,4.65859657
3/20/19,79,4.9,0,4.730674472
3/21/19,80,4.9,0,4.781777595
3/22/19,81,4.9,0,4.817725824
3/23/19,82,4.9,0,4.842873759
3/24/19,83,4.9,0,4.860398158
3/25/19,84,4.9,0,4.872577105
3/26/19,85,4.9,0,4.881025223
3/27/19,86,4.9,0,4.886877755
3/28/19,87,4.9,0,4.890928502
3/29/19,88,4.9,0,4.893730415
3/30/19,89,4.9,0,4.895667668
3/31/19,90,4.9,0,4.897006691
4/1/19,91,4.9,0,4.897932028
4/2/19,92,4.9,0,4.898571394
4/3/19,93,4.9,0,4.899013124
4/4/19,94,4.9,0,4.899318288
4/5/19,95,4.9,0,4.899529098
4/6/19,96,4.9,0,4.899674722
4/7/19,97,4.9,0,4.899775315
4/8/19,98,4.9,0,4.8998448
4/9/19,99,4.9,0,4.9
4/10/19,100,4.9,0,4.9
4/11/19,101,4.9,0,4.9
4/12/19,102,4.9,0,4.9
4/13/19,103,4.9,0,4.9
4/14/19,104,4.9,0,4.9
4/15/19,105,4.9,0,4.9
4/16/19,106,4.9,0,4.9
4/17/19,107,4.9,0,4.9
4/18/19,108,4.9,0,4.9
4/19/19,109,4.9,0,4.9
4/20/19,110,4.9,0,4.9
4/21/19,111,4.9,0,4.9
4/22/19,112,4.9,0,4.9
4/23/19,113,4.9,0,4.9
4/24/19,114,4.9,0,4.9
4/25/19,115,4.9,0,4.9
4/26/19,116,4.9,0,4.9
4/27/19,117,4.9,0,4.9
4/28/19,118,4.9,0,4.9
4/29/19,119,4.9,0,4.9
4/30/19,120,4.9,0,4.9
5/1/19,121,4.9,0,4.9
5/2/19,122,4.9,0,4.9
5/3/19,123,4.9,0,4.9
5/4/19,124,4.9,0,4.9
5/5/19,125,4.9,0,4.9
5/6/19,126,4.9,0,4.9
5/7/19,127,4.9,0,4.9
5/8/19,128,4.9,0,4.9
5/9/19,129,4.9,0,4.9
5/10/19,130,4.9,0,4.9
5/11/19,131,4.9,0,4.9
5/12/19,132,4.9,0,4.9
5/13/19,133,4.9,0,4.9
5/14/19,134,4.9,0,4.9
5/15/19,135,4.9,0,4.9
5/16/19,136,4.9,0,4.9
5/17/19,137,4.9,0,4.9
5/18/19,138,4.9,0,4.9
5/19/19,139,4.9,0,4.9
5/20/19,140,4.9,0,4.9
5/21/19,141,4.9,0,4.9
5/22/19,142,4.9,0,4.9
5/23/19,143,4.9,0,4.9
5/24/19,144,4.9,0,4.9
5/25/19,145,4.9,0,4.9
5/26/19,146,4.9,0,4.9
5/27/19,147,4.9,0,4.9
5/28/19,148,4.9,0,4.9
5/29/19,149,4.9,0,4.9
5/30/19,150,4.9,0,4.9
5/31/19,151,4.9,0,4.9
6/1/19,152,4.9,0,4.9
6/2/19,153,4.9,0,4.9
6/3/19,154,4.9,0,4.9
6/4/19,155,4.9,0,4.9
6/5/19,156,4.9,0,4.9
6/6/19,157,4.9,0,4.9
6/7/19,158,4.9,0,4.9
6/8/19,159,4.9,0,4.9
6/9/19,160,4.9,0,4.9
6/10/19,161,4.9,0,4.9
6/11/19,162,4.9,0,4.9
6/12/19,163,4.9,0,4.9
6/13/19,164,4.9,0,4.9
6/14/19,165,4.9,0,4.9
6/15/19,166,4.9,0,4.9
6/16/19,167,4.9,0,4.9
6/17/19,168,4.9,0,4.9
6/18/19,169,4.9,0,4.9
6/19/19,170,4.9,0,4.9
6/20/19,171,4.9,0,4.9
6/21/19,172,4.9,0,4.9
6/22/19,173,4.9,0,4.9
6/23/19,174,4.9,0,4.9
6/24/19,175,4.9,0,4.9
6/25/19,176,4.9,0,4.9
6/26/19,177,4.9,0,4.9
6/27/19,178,4.9,0,4.9
6/28/19,179,4.9,0,4.9
6/29/19,180,4.9,0,4.9
6/30/19,181,4.9,0,4.9
7/1/19,182,4.9,0,4.9
7/2/19,183,4.9,0,4.9
7/3/19,184,4.9,0,4.9
7/4/19,185,4.9,0,4.9
7/5/19,186,4.9,0,4.9
7/6/19,187,4.9,0,4.9
7/7/19,188,4.9,0,4.9
7/8/19,189,4.9,0,4.9
7/9/19,190,4.9,0,4.9
7/10/19,191,4.9,0,4.9
7/11/19,192,4.9,0,4.9
7/12/19,193,4.9,0,4.9
7/13/19,194,4.9,0,4.9
7/14/19,195,4.9,0,4.9
7/15/19,196,4.9,0,4.9
7/16/19,197,4.9,0,4.9
7/17/19,198,4.9,0,4.9
7/18/19,199,4.9,0,4.9
7/19/19,200,4.9,0,4.9
7/20/19,201,4.9,0,4.9
7/21/19,202,4.9,0,4.9
7/22/19,203,4.9,0,4.9
7/23/19,204,4.9,0,4.9
7/24/19,205,4.9,0,4.9
7/25/19,206,4.9,0,4.9
7/26/19,207,4.9,0,4.9
7/27/19,208,4.9,0,4.9
7/28/19,209,4.9,0,4.9
7/29/19,210,4.9,0,4.9
7/30/19,211,4.9,0,4.9
7/31/19,212,4.9,0,4.9
8/1/19,213,4.9,0,4.9
8/2/19,214,4.9,0,4.9
8/3/19,215,4.9,0,4.9
8/4/19,216,4.9,0,4.9
8/5/19,217,4.9,0,4.9
8/6/19,218,4.9,0,4.9
8/7/19,219,4.9,0,4.9
8/8/19,220,4.9,0,4.9
8/9/19,221,4.9,0,4.9
8/10/19,222,4.9,0,4.9
8/11/19,223,4.9,0,4.9
8/12/19,224,4.9,0,4.9
8/13/19,225,4.9,0,4.9
8/14/19,226,4.9,0,4.9
8/15/19,227,4.9,0,4.9
8/16/19,228,4.9,0,4.9
8/17/19,229,4.9,0,4.9
8/18/19,230,4.9,0,4.9
8/19/19,231,4.9,0,4.9
8/20/19,232,4.9,0,4.9
8/21/19,233,4.9,0,4.9
8/22/19,234,4.9,0,4.9
8/23/19,235,4.9,0,4.9
8/24/19,236,4.9,0,4.9
8/25/19,237,4.9,0,4.9
8/26/19,238,4.9,0,4.9
8/27/19,239,4.9,0,4.9
8/28/19,240,4.9,0,4.9
8/29/19,241,4.9,0,4.9
8/30/19,242,4.9,0,4.9
8/31/19,243,4.9,0,4.9
9/1/19,244,4.9,0,4.9
9/2/19,245,4.9,0,4.9
9/3/19,246,4.9,0,4.9
9/4/19,247,4.9,0,4.9
9/5/19,248,4.9,0,4.9
9/6/19,249,4.9,0,4.9
9/7/19,250,4.9,0,4.9
9/8/19,251,4.9,0,4.9
9/9/19,252,4.9,0,4.9
9/10/19,253,4.9,0,4.9
9/11/19,254,4.9,0,4.9
9/12/19,255,4.9,0,4.9
9/13/19,256,4.9,0,4.9
9/14/19,257,4.9,0,4.9
9/15/19,258,4.9,0,4.9
9/16/19,259,4.9,0,4.9
9/17/19,260,4.9,0,4.9
9/18/19,261,4.9,0,4.9
9/19/19,262,4.9,0,4.9
9/20/19,263,4.9,0,4.9
9/21/19,264,4.9,0,4.9
9/22/19,265,4.9,0,4.9
9/23/19,266,4.9,0,4.9
9/24/19,267,4.9,0,4.9
9/25/19,268,4.9,0,4.9
9/26/19,269,4.9,0,4.9
9/27/19,270,4.9,0,4.9
9/28/19,271,4.9,0,4.9
9/29/19,272,4.9,0,4.9
9/30/19,273,4.9,0,4.9
10/1/19,274,4.9,0,4.9
10/2/19,275,4.9,0,4.9
10/3/19,276,4.9,0,4.9
10/4/19,277,4.9,0,4.9
10/5/19,278,4.9,0,4.9
10/6/19,279,4.9,0,4.9
10/7/19,280,4.9,0,4.9
10/8/19,281,4.9,0,4.9
10/9/19,282,4.9,0,4.9
10/10/19,283,4.9,0,4.9
10/11/19,284,4.9,0,4.9
10/12/19,285,4.9,0,4.9
10/13/19,286,4.9,0,4.9
10/14/19,287,4.9,0,4.9
10/15/19,288,4.9,0,4.9
10/16/19,289,4.9,0,4.9
10/17/19,290,4.9,0,4.9
10/18/19,291,4.9,0,4.9
10/19/19,292,4.9,0,4.9
10/20/19,293,4.9,0,4.9
10/21/19,294,4.9,0,4.9
10/22/19,295,4.9,0,4.9
10/23/19,296,4.9,0,4.9
10/24/19,297,4.9,0,4.9
10/25/19,298,4.9,0,4.9
10/26/19,299,4.9,0,4.9
10/27/19,300,4.9,0,4.9
10/28/19,301,4.9,0,4.9
10/29/19,302,4.9,0,4.9
10/30/19,303,4.9,0,4.9
10/31/19,304,4.9,0,4.9
11/1/19,305,4.9,0,4.9
11/2/19,306,4.9,0,4.9
11/3/19,307,4.9,0,4.9
11/4/19,308,4.9,0,4.9
11/5/19,309,4.9,0,4.9
11/6/19,310,4.9,0,4.9
11/7/19,311,4.9,0,4.9
11/8/19,312,4.9,0,4.9
11/9/19,313,4.9,0,4.9
11/10/19,314,4.9,0,4.9
11/11/19,315,4.9,0,4.9
11/12/19,316,4.9,0,4.9
11/13/19,317,4.9,0,4.9
11/14/19,318,4.9,0,4.9
11/15/19,319,4.9,0,4.9
11/16/19,320,4.9,0,4.9
11/17/19,321,4.9,0,4.9
11/18/19,322,4.9,0,4.9
11/19/19,323,4.9,0,4.9
11/20/19,324,4.9,0,4.9
11/21/19,325,4.9,0,2.45
11/22/19,326,4.9,0,2.001851006
11/23/19,327,4.9,0,1.582720304
11/24/19,328,4.9,0,1.214567354
11/25/19,329,4.9,0,0.908594355
11/26/19,330,4.9,0,0.665777195
11/27/19,331,4.9,0,0.480047141
11/28/19,332,4.9,0,0.341945436
11/29/19,333,4.9,0,0.24140343
11/30/19,334,4.9,0,0.169325528
12/1/19,335,4.9,0,0.118222405
12/2/19,336,4.9,0,0.082274176
12/3/19,337,4.9,0,0.057126241
12/4/19,338,4.9,0,0.039601842
12/5/19,339,4.9,0,0.027422895
12/6/19,340,4.9,0,0.018974777
12/7/19,341,4.9,0,0.013122245
12/8/19,342,4.9,0,0.009071498
12/9/19,343,4.9,0,0.006269585
12/10/19,344,4.9,0,0.004332332
12/11/19,345,4.9,0,0.002993309
12/12/19,346,4.9,0,0.002067972
12/13/19,347,4.9,0,0.001428606
12/14/19,348,4.9,0,0.000986876
12/15/19,349,4.9,0,0.000681712
12/16/19,350,4.9,0,0.000470902
12/17/19,351,4.9,0,0.000325278
12/18/19,352,4.9,0,0.000224685
12/19/19,353,4.9,0,0
12/20/19,354,4.9,0,0
12/21/19,355,4.9,0,0
12/22/19,356,4.9,0,0
12/23/19,357,4.9,0,0
12/24/19,358,4.9,0,0
12/25/19,359,4.9,0,0
12/26/19,360,4.9,0,0
12/27/19,361,4.9,0,0
12/28/19,362,4.9,0,0
12/29/19,363,4.9,0,0
12/30/19,364,4.9,0,0
12/31/19,365,4.9,0,0